index x y z roll pitch yaw qx qy qz qw timestamp
left/left_00021.jpg 0.152101754903 -3.583708316829 0.118380218222 81.711686944575 171.953757762378 178.607604603783 -0.753880682983 0.055059294014 0.045132555676 0.653142742734 1735727258.466809511185
left/left_00041.jpg 9.907625303069 -7.150802751827 0.043708582095 86.400095660585 176.341343438203 176.933293046677 -0.727750894981 0.041340987299 0.004953671393 0.684576525133 1735727278.466726303101
left/left_00061.jpg 10.245833131880 -7.206791136949 0.091034093302 -91.524484561500 5.695664290369 7.563963744812 -0.716294146428 -0.012613184654 0.081477747868 0.692910513680 1735727298.466905832291
left/left_00081.jpg 21.366496572319 -5.736713940325 -0.013989671347 -95.040592483292 6.762788340147 100.967000017983 -0.499193471644 -0.542614932611 0.547749020996 0.395406022682 1735727318.467362880707
left/left_00101.jpg 21.632631448779 -1.337467782264 0.352574910712 -86.021341826694 -10.390299723346 88.723029866436 -0.439389739599 -0.522315132117 0.465002018449 0.563823272254 1735727338.467411041260
left/left_00121.jpg 11.782592646412 -1.838803115588 0.085883252807 -86.683542619210 -23.507568804271 58.228816929463 -0.514972333740 -0.456375609913 0.224290308883 0.690085976890 1735727358.464483499527
left/left_00141.jpg 10.942979162188 -1.147321815818 0.475729344290 -74.010505682699 -25.736624558114 45.562063049918 -0.472131918391 -0.391182597582 0.177862118641 0.769696494560 1735727378.464163064957
left/left_00161.jpg 1.629914596016 -0.044584629538 0.212116136416 -95.169953606297 -0.329759856916 23.723736407971 -0.722111344482 -0.153654218019 0.136564872456 0.660526776949 1735727398.467765569687
left/left_00181.jpg 4.094019073791 -1.368365174997 0.139958889196 -100.414189793851 -6.039066431688 41.511355295742 -0.705551003034 -0.303442854376 0.188648040397 0.611990304743 1735727418.468347549438
left/left_00201.jpg 4.684038375793 -6.915382113364 0.103122097175 84.443970138386 179.964489651933 132.837678495733 -0.678623588603 0.296444886452 -0.268623640970 0.615980351797 1735727438.468199729919
left/left_00221.jpg 25.813525524887 -6.243562592390 0.086304927060 -93.495447201760 6.184606140059 55.835943547233 -0.659947723867 -0.307857422754 0.355071498661 0.586188570220 1735727458.468838691711
left/left_00241.jpg 35.140323775223 2.969200123019 0.066407797951 -92.611493680326 8.963425519725 126.852828822687 -0.370737090137 -0.620530008607 0.641218517497 0.257556462225 1735727478.468819141388
left/left_00261.jpg 25.274257634575 17.082671838837 -0.099363511669 -97.392458395377 10.575317818589 160.665166453060 -0.185578697129 -0.727186606030 0.659534534349 0.042123451709 1735727498.468859910965
left/left_00281.jpg 19.775132572006 24.524518095062 -0.274134458966 93.477856326270 -174.096864528930 34.170982791156 -0.236923246995 0.643192683954 -0.705543802966 0.179940235737 1735727518.469069480896
left/left_00301.jpg 14.325668240116 20.107471601239 -1.172996346507 77.467289991234 170.170844109967 20.853913864168 0.087939397665 -0.774062337302 0.601011174438 -0.178548952698 1735727538.467983722687
left/left_00321.jpg 14.037358933403 17.779898613040 -0.055739013294 87.811933030840 174.140976249474 13.754049089731 0.050969714605 -0.718604348619 0.683178864548 -0.119484381295 1735727558.467936754227
left/left_00341.jpg 13.349652691780 14.122045972967 -0.164482897601 80.085511005622 167.774969280022 44.979681112472 -0.227882906276 0.729524697761 -0.559868075174 0.320016928904 1735727578.465312957764
left/left_00361.jpg 13.360098160911 14.046094028671 0.822196761531 89.975542909226 171.118422553205 26.299651390814 0.107113402142 -0.699097695858 0.673893407683 -0.213674532428 1735727598.468982219696
right/right_00021.jpg 0.204255299076 -3.668223093272 0.126755364376 86.389371137772 -168.261890355063 59.303522499167 -0.419607548062 0.595616364411 -0.628608316816 0.272070277841 1735727258.467008352280
right/right_00041.jpg 9.955984751288 -7.237660291394 0.049349162264 87.908879967691 -174.484099357636 56.916086770593 -0.372003692728 0.616257403033 -0.626016277525 0.299906128776 1735727278.466926336288
right/right_00061.jpg 10.309267677678 -7.283486537848 0.091751840198 85.095987279671 -175.259889975703 67.643416792620 -0.432941702461 0.595951878713 -0.578252300707 0.350752216323 1735727298.467105865479
right/right_00081.jpg 21.438771590390 -5.668342205998 -0.009134189697 85.912972404056 -171.697171938873 161.331310980160 -0.728286958630 0.069716571755 -0.162517260488 0.662061814000 1735727318.467566967010
right/right_00101.jpg 21.718216493423 -1.287347374744 0.359880455944 96.319215882888 171.954675492205 149.349006293294 -0.627939051553 0.226275007413 -0.151290872720 0.729111267494 1735727338.467616081238
