Index X Y Z Omega Phi Kappa
left_00021.jpg 0.152101754903 -3.583708316829 0.118380218222 81.79378528443333 -0.22196628521469366 -8.16205129540803
left_00041.jpg 9.907625303069 -7.150802751827 0.043708582095 86.40304621492034 -2.8311085668647946 -3.8437644245086724
left_00061.jpg 10.24583313188 -7.206791136949 0.091034093302 88.46919216226304 7.712575338824356 -5.492179665109011
left_00081.jpg 21.366496572319 -5.736713940325 -0.013989671347 -66.39553933963528 77.41448913230032 150.11381975392192
left_00101.jpg 21.632631448779 -1.337467782264 0.352574910712 171.89330464255127 86.04712407531333 -71.4593788229897
left_00121.jpg 11.782592646412 -1.838803115588 0.085883252807 95.98474584337853 59.415918940687526 18.38569914251477
left_00141.jpg 10.942979162188 -1.147321815818 0.47572934429 112.89213524183376 50.36579005268437 8.617595731929045
left_00161.jpg 1.629914596016 -0.044584629538 0.212116136416 84.35716686580882 23.591653495649982 2.5956065595780813
left_00181.jpg 4.094019073791 -1.368365174997 0.139958889196 76.50591129785398 39.61381818680847 14.83863747442864
left_00201.jpg 4.684038375793 -6.915382113364 0.103122097175 81.85851660473121 -46.86938938666556 -5.996030320331324
left_00221.jpg 25.813525524887 -6.24356259239 0.08630492706 83.76808401027873 56.05584985659879 -1.0198010177817498
left_00241.jpg 35.140323775223 2.969200123019 0.066407797951 -85.74424060452061 52.66375739449516 167.6414064412208
left_00261.jpg 25.274257634575 17.082671838837 -0.099363511669 -82.3654089962813 17.82160670452325 166.98885821881322
left_00281.jpg 19.775132572006 24.524518095062 -0.274134458966 -94.19670304038888 -34.45730338421704 -176.46340088974628
left_00301.jpg 14.325668240116 20.107471601239 -1.172996346507 -76.62226790676208 -22.46513426455598 175.128384435441
left_00321.jpg 14.037358933403 17.77989861304 -0.055739013294 -87.75702037330095 -13.967227320913278 174.6783725627881
left_00341.jpg 13.34965269178 14.122045972967 -0.164482897601 -75.92211938678334 -46.227242015273156 177.85922462126794
left_00361.jpg 13.360098160911 14.046094028671 0.822196761531 -89.97304526574182 -26.30342486897557 171.13036606834598
right_00021.jpg 0.204255299076 -3.668223093272 0.126755364376 -83.24411050113689 -58.39012463545606 -162.4783098742534
right_00041.jpg 9.955984751288 -7.237660291394 0.049349162264 -86.21119239235951 -56.6574575157636 -171.3138847756087
right_00061.jpg 10.309267677678 -7.283486537848 0.091751840198 -77.53844053362104 -66.74575416425824 -163.76534922433262
right_00081.jpg 21.43877159039 -5.668342205998 -0.009134189697 85.71699008165085 -19.210017969002973 6.912108775697447
right_00101.jpg 21.718216493423 -1.287347374744 0.359880455944 97.33023670873743 -31.329716597297992 -4.267178044944538
right_00121.jpg 11.87997168576 -1.842046813416 0.105708259316 125.85006048225651 -58.467641691210495 17.18828699211264
right_00141.jpg 11.040773277381 -1.165078544161 0.480707995916 131.92826171915334 -69.00806189988361 14.069794212715713
right_00161.jpg 1.711446963549 -0.100222849892 0.223684941187 -108.50804446129625 -83.21145395096039 166.4815507744553
right_00181.jpg 4.186385423675 -1.396878481651 0.164284771567 131.3503940515409 -75.18993811289062 46.922110202604216
right_00201.jpg 4.658509723174 -7.0107814733 0.114976985683 -92.08298472042812 -12.689303878090277 -175.07273493568195
right_00221.jpg 25.913178460692 -6.246853952247 0.08944624908 80.0763271289 -64.10870477892392 -2.2429634613049783
right_00241.jpg 35.175788581087 3.06220032352 0.065711720797 82.79747860241086 6.333290941340749 8.15427792032734
right_00261.jpg 25.25065700268 17.1794439115 -0.094704332181 81.91745698881486 40.15972868305813 17.49855713205339
right_00281.jpg 19.684209820978 24.565173977195 -0.270162307054 -123.0445201192148 85.17837831526629 -152.45223074985694
right_00301.jpg 14.244747296254 20.164112422932 -1.160308365977 71.09172372323691 80.7208756438793 34.969679267191786
right_00321.jpg 13.965904288184 17.849135187561 -0.054197558692 73.93151123458884 72.8029750433325 20.79682862347546
right_00341.jpg 13.252305885339 14.141529920373 -0.157784722156 -66.63055399330048 73.80274853371988 172.71528388104448
right_00361.jpg 13.27570222463 14.098645933089 0.817796255306 26.755762916261062 80.6014879086903 68.02291662486968
