# timestamp tx ty tz qx qy qz qw
1773114961.989706755 -0.000027327 -0.000009223 0.000065432 0.000000000 0.000000000 -0.000000000 1.000000000
1773114962.093576193 -0.000004909 -0.000025389 0.000081540 -0.000051650 0.000179921 -0.000165653 0.999999969
1773114962.204393387 -0.000300843 -0.000034239 0.000101393 -0.000089969 0.000095022 -0.000043101 0.999999991
1773114962.296923399 -0.000099941 0.000028726 0.000128109 -0.000069638 0.000130286 -0.000096773 0.999999984
1773114962.400137663 -0.000027327 -0.000009223 0.000065432 0.000000000 0.000000000 -0.000000000 1.000000000
1773114962.490312576 0.000565712 -0.000235856 -0.000047727 -0.000069365 -0.000043008 0.000178413 0.999999981
1773114962.593408108 0.000410631 -0.000364967 0.000365248 -0.000090255 0.000049102 0.000178443 0.999999979
1773114962.702372074 0.001271909 -0.000471925 -0.000125813 -0.000066167 0.000026581 -0.000084916 0.999999994
1773114962.793405056 0.001286474 -0.000612298 0.000164915 -0.000131192 0.000078318 -0.000143198 0.999999978
1773114962.896207571 0.001011911 -0.000221697 -0.000375903 -0.000007256 0.000082244 -0.000114642 0.999999990
1773114962.999043941 0.000899501 -0.000216937 -0.000196202 -0.000029611 0.000116136 -0.000123749 0.999999985
1773114963.099781752 0.000949872 0.000176658 0.000501907 -0.000097525 0.000254581 -0.000233260 0.999999936
1773114963.194641113 0.000915526 0.000232832 0.000852046 -0.000099137 0.000306431 -0.000259365 0.999999915
1773114963.277749538 0.001371828 -0.000205477 0.000546504 -0.000128340 0.000179664 -0.000071798 0.999999973
1773114963.394507885 0.001445084 -0.000171694 0.000836800 -0.000152984 0.000115226 -0.000077331 0.999999979
1773114963.570273638 0.002340724 -0.004318891 -0.013452023 0.000337145 -0.000821953 0.000100039 0.999999600
1773114963.596402168 0.002752657 -0.004987781 -0.016002801 0.001158202 -0.002731771 0.000164421 0.999995584
1773114963.684278727 0.002891108 -0.005551138 -0.016907300 0.001200902 -0.002750458 0.000039072 0.999995496
1773114963.788967371 0.002353153 -0.005857414 -0.017104080 -0.000676835 -0.000484301 0.000242548 0.999999624
1773114963.900747299 0.002575290 -0.004327939 -0.015973454 -0.000932947 -0.000186116 0.000242016 0.999999518
1773114963.993760586 0.002902719 -0.005294926 -0.017355201 0.000945176 -0.002610471 0.000193601 0.999996127
1773114964.089749813 0.003136587 -0.005352715 -0.017851752 0.001130853 -0.002673041 -0.000001621 0.999995788
1773114964.210026026 0.003405363 -0.005498842 -0.017654716 -0.000728867 -0.000566098 0.000281979 0.999999534
1773114964.375416517 0.004550586 -0.004210456 -0.016402077 -0.000778600 -0.000234875 0.000235426 0.999999642
1773114964.400760651 0.003663561 -0.004360632 -0.016567624 0.000872877 -0.002624159 0.000230036 0.999996149
1773114964.496465921 0.003580638 -0.005563912 -0.016906422 0.001054733 -0.002705688 0.000060664 0.999995782
1773114964.597049236 0.002544329 -0.005532380 -0.017131697 -0.000570049 -0.000524762 0.000229175 0.999999674
1773114964.695653200 0.001428095 -0.005884309 -0.016376668 -0.000836621 -0.000047467 0.000081094 0.999999646
1773114964.792105436 0.002031378 -0.006582479 -0.016186758 -0.000906061 -0.000071268 0.000207426 0.999999565
1773114964.892268419 0.002297111 -0.006814651 -0.016250664 -0.000821455 -0.000224605 0.000336575 0.999999581
1773114964.991291046 0.002140578 -0.006299153 -0.015825206 -0.000867629 -0.000135735 0.000208505 0.999999593
1773114965.106038332 0.001362688 -0.006196706 -0.015356452 -0.000813011 -0.000044392 0.000298279 0.999999624
1773114965.205854654 0.003915270 -0.005377169 -0.015347455 -0.000670505 -0.000060024 0.000217648 0.999999750
1773114965.305801868 0.003338799 -0.003929346 -0.015477464 -0.000686928 -0.000013015 0.000016783 0.999999764
1773114965.396232367 0.004073894 -0.004322817 -0.015315100 -0.000731132 -0.000071896 0.000196869 0.999999711
1773114965.496147394 0.004170080 -0.004012100 -0.014854019 -0.000764173 0.000023574 0.000150242 0.999999696
1773114965.605325699 0.004598949 -0.004532642 -0.015499643 -0.000605755 -0.000134167 0.000244081 0.999999778
1773114965.704899549 0.003966371 -0.003548295 -0.015737104 -0.000588063 -0.000224156 0.000104060 0.999999797
1773114965.796915770 0.003935040 -0.003811784 -0.015455720 -0.000701062 -0.000125339 0.000151121 0.999999735
1773114965.897662878 0.003695779 -0.003798858 -0.015841009 -0.000666406 -0.000177878 0.000072286 0.999999760
1773114965.989836216 0.003846108 -0.004953163 -0.016395117 -0.000618791 -0.000260114 0.000255270 0.999999742
1773114966.102492094 0.003065364 -0.004382084 -0.015568425 -0.000699640 -0.000145261 0.000143042 0.999999734
1773114966.206525326 0.002762908 -0.004983527 -0.015068653 -0.000715815 -0.000034187 0.000126989 0.999999735
1773114966.301961899 0.002078137 -0.004876221 -0.015010988 -0.000665454 -0.000060440 0.000147991 0.999999766
1773114966.390004158 0.001693361 -0.003741147 -0.014227083 -0.000782415 0.000079458 -0.000000340 0.999999691
1773114966.493665934 0.002027595 -0.005114604 -0.014995605 -0.000798853 -0.000116765 0.000291984 0.999999631
1773114966.596704006 0.002470658 -0.005391178 -0.014866481 -0.000672056 0.000005479 0.000160649 0.999999761
1773114966.736886501 0.002464868 -0.003207258 -0.013609502 -0.000746350 0.000024724 0.000019773 0.999999721
1773114966.787251949 0.002062460 -0.004803637 -0.015830332 -0.000754310 -0.000123005 0.000126303 0.999999700
1773114966.896549702 0.002877264 -0.006955866 -0.017279355 -0.000740036 -0.000226681 0.000369376 0.999999632
1773114966.992941618 0.001917426 -0.006878810 -0.017636114 -0.000726890 -0.000146607 0.000098779 0.999999720
1773114967.096687317 0.002182172 -0.007213701 -0.017848854 -0.000771012 -0.000259803 0.000254394 0.999999637
1773114967.223397493 0.001951069 -0.007853158 -0.017563732 -0.000785108 -0.000228126 0.000355237 0.999999603
1773114967.299072981 0.001764228 -0.006764491 -0.016831175 -0.000718610 -0.000125587 0.000158667 0.999999721
1773114967.400058270 0.001417749 -0.006809736 -0.016517728 -0.000790957 -0.000172897 0.000276620 0.999999634
1773114967.517487049 0.002391535 -0.003313891 -0.015288263 -0.000754402 -0.000169117 0.000135206 0.999999692
1773114967.595482111 0.002119406 -0.003971443 -0.015142831 -0.000760538 -0.000038384 0.000046544 0.999999709
1773114967.692635775 0.002141006 -0.004344570 -0.015136954 -0.000752756 -0.000031735 0.000083579 0.999999713
1773114967.806679010 0.001297194 -0.004293297 -0.015361076 -0.000793734 -0.000081938 0.000083039 0.999999678
1773114967.887578011 0.002200931 -0.004610628 -0.015504799 -0.000781465 -0.000107080 0.000117190 0.999999682
1773114967.997998953 0.002371606 -0.004865896 -0.015160991 -0.000685478 -0.000102666 0.000171040 0.999999745
1773114968.097752094 0.001963801 -0.004564587 -0.015322018 -0.000678389 -0.000088581 0.000256335 0.999999733
1773114968.211678505 0.002639152 -0.004130720 -0.015478580 -0.000720607 -0.000139181 0.000126335 0.999999723
1773114968.374171019 0.002198086 -0.004600386 -0.017341138 -0.000712654 -0.000239373 0.000188292 0.999999700
1773114968.392644644 0.003090550 -0.005140567 -0.016498804 -0.000701290 -0.000170138 0.000099819 0.999999735
1773114968.498903990 0.002699723 -0.005126796 -0.015425913 -0.000823769 -0.000027932 0.000162030 0.999999647
1773114968.595067263 0.002661873 -0.005569061 -0.015202868 -0.000770987 -0.000031876 0.000184002 0.999999685
1773114968.698643923 0.002278200 -0.004741602 -0.014797948 -0.000635396 -0.000032919 0.000164891 0.999999784
1773114968.798644781 0.002154762 -0.005021931 -0.014742565 -0.000832373 -0.000057058 0.000194854 0.999999633
1773114968.913105488 0.002877791 -0.004803150 -0.015305920 -0.000737287 -0.000123563 0.000232700 0.999999693
1773114968.989614487 0.002678050 -0.004275523 -0.015159578 -0.000764614 0.000004483 0.000155245 0.999999696
1773114969.123966455 0.003334719 -0.001848568 -0.013611485 -0.000707607 0.000128662 -0.000009419 0.999999741
1773114969.214015961 0.002457846 -0.002947119 -0.014884140 -0.000762469 0.000007711 0.000093096 0.999999705
1773114969.305938005 0.002778038 -0.003626816 -0.016161477 -0.000747391 -0.000118237 0.000141574 0.999999704
1773114969.395819426 0.002345851 -0.003554972 -0.016468131 -0.000689275 -0.000136371 0.000112605 0.999999747
1773114969.489821196 0.001100665 -0.003856617 -0.016729674 -0.000717378 -0.000144373 0.000105997 0.999999727
1773114969.595839977 0.001622179 -0.004937268 -0.016944494 -0.000757697 -0.000216411 0.000173978 0.999999674
