#x y z roll pitch yaw qx qy qz qw timestamp
0.003996131295520 -0.001071223336580 0.000377134163756 -0.008257692238149 0.442446554067285 -0.001612822485253 -0.003851268559375 0.219424559199639 0.000119209956709 0.975621861347681 1735727238.697823286056519
0.003868953844653 0.001884390670603 0.000195630584827 -0.008066696603706 0.442069673898429 -0.001761215582378 -0.003742146828609 0.219240997881049 0.000025089656395 0.975663559100033 1735727238.800275802612305
0.000778502315904 0.006110026456091 0.000223557411615 -0.008017103672898 0.442452544334379 -0.002346974872061 -0.003653354949999 0.219428849909260 -0.000265300804046 0.975621628727342 1735727238.900115966796875
0.003727100616650 0.004293770018227 -0.000725071579904 -0.007915894057989 0.442180151107549 -0.001833004021660 -0.003660613724575 0.219295024575778 -0.000026237675086 0.975651726496219 1735727239.000438928604126
0.004481615788720 0.003370235861101 -0.000285644015843 -0.007883357371141 0.442023629310460 -0.002061174559454 -0.003619869458277 0.219219082587390 -0.000141431393900 0.975668934819496 1735727239.100288867950439
0.003052200711873 0.003538301867510 0.000032769081777 -0.008129984628052 0.442057812574197 -0.001957262941941 -0.003751540856939 0.219235579445712 -0.000063635593385 0.975664738830308 1735727239.200124025344849
0.002563596293333 0.001847960358751 -0.000117669334294 -0.007937600392514 0.442199254396246 -0.001948745764119 -0.003658494441965 0.219304555987792 -0.000080280415918 0.975649589092554 1735727239.299637556076050
0.003419422601373 0.002601465397605 -0.000251768764151 -0.007814817618829 0.441979223850023 -0.001861830900089 -0.003608322534521 0.219197056520805 -0.000051786459431 0.975673935154191 1735727239.398977756500244
0.005554226991903 0.002980890172710 -0.001925090195424 -0.007469747706535 0.441310817363343 -0.001438462602156 -0.003486893012284 0.218870225784531 0.000115658680148 0.975747740179407 1735727239.498298168182373
0.003820680615960 0.003849042069006 -0.002267372787800 -0.007788350827901 0.442100757720740 -0.001912826049544 -0.003589713480018 0.219256435633091 -0.000079320880083 0.975660659808933 1735727239.597598791122437
0.002682767410095 0.002907044209619 -0.002109233755710 -0.007868984270126 0.441959405305698 -0.002018270624062 -0.003617619755698 0.219187673270770 -0.000122207178385 0.975676002461296 1735727239.696854829788208
0.002052500440046 0.001587804012812 -0.001169634405003 -0.007867485773797 0.442030513646804 -0.001742475043939 -0.003647053313125 0.219221861493571 0.000012315410368 0.975668219372629 1735727239.800128936767578
0.002114557022533 0.001689988259894 -0.000844035359589 -0.007611462403248 0.442088956001059 -0.001872785698205 -0.003507821793812 0.219250600343739 -0.000079203060470 0.975662269006057 1735727239.900448799133301
0.003031221978879 0.000492212026506 -0.001270638894303 -0.008122825553319 0.442175919177696 -0.001646957320300 -0.003781963366531 0.219292610813530 0.000087201438848 0.975651802638415 1735727240.000292062759399
0.005477116279551 -0.000882424983194 -0.002618505838216 -0.007793786493978 0.441803032519970 -0.001620941406506 -0.003624608779286 0.219110667630480 0.000063072764795 0.975693278424910 1735727240.099949121475220
0.004587462941461 -0.000881750239621 -0.002956229951447 -0.007714651548968 0.441940302016898 -0.001645934262570 -0.003583151830594 0.219177680610672 0.000042481115416 0.975678381199686 1735727240.199309110641479
0.003172351579471 -0.000843045055445 -0.002125362398778 -0.007997240429781 0.442417467000622 -0.001580943313623 -0.003727738800293 0.219410324473678 0.000106126951185 0.975625544056152 1735727240.298847198486328
0.002404291471904 -0.000424373881977 -0.000302992589463 -0.008119983155983 0.442509436967586 -0.001770860009474 -0.003766698713193 0.219455540033398 0.000027139775551 0.975615230094778 1735727240.398251771926880
0.003767641544246 0.001910172938849 0.000900722114377 -0.008050824073028 0.442341471078604 -0.001758271089518 -0.003734489946157 0.219373581645368 0.000025346048800 0.975633786119824 1735727240.497591972351074
0.003404363347175 0.002899945900795 -0.000059701389237 -0.007988124642612 0.442330056789176 -0.001875654753686 -0.003691038881495 0.219368231265175 -0.000038816405224 0.975635154059575 1735727240.596951961517334
0.003955467435853 0.002515079641273 -0.001639480230034 -0.007844966394057 0.442162448528005 -0.001719615265680 -0.003638461201105 0.219286181807588 0.000021263715410 0.975653797008033 1735727240.696316957473755
0.005069566721381 -0.000792601598705 -0.001623299543088 -0.008469032612801 0.442467683913895 -0.001707718550994 -0.003943932797405 0.219435040094199 0.000096150897873 0.975619136409261 1735727240.800462007522583
0.004063448228355 -0.000655691243171 -0.000642103078577 -0.008140017767291 0.442459279659003 -0.001759294263721 -0.003777784753286 0.219431050762267 0.000034875564351 0.975620695294754 1735727240.900296926498413
0.001660032019989 0.001670269483216 0.000033879464418 -0.007896212417221 0.442528868081854 -0.001949981279765 -0.003637869367548 0.219465347010681 -0.000084751343824 0.975613509636452 1735727241.000040292739868
-0.001253848380101 0.004448798905925 0.001115181228959 -0.008016375379448 0.442530238988791 -0.002214558264562 -0.003667451549393 0.219466507524835 -0.000200625103775 0.975613120875049 1735727241.099361419677734
0.001035151000695 0.004099522205891 0.001884929826942 -0.008253783473885 0.442624146106611 -0.002158408593811 -0.003789330267685 0.219512231646586 -0.000146983205934 0.975602377779798 1735727241.198681831359863
0.002622574148795 0.002961510979158 0.001581519376079 -0.008144923041579 0.442780459287481 -0.002024664618778 -0.003750760155063 0.219588221941442 -0.000093362926347 0.975585432377001 1735727241.297987461090088
0.003099917025888 0.000667421858542 -0.000443417315630 -0.007809290685858 0.442519182326981 -0.001706674072704 -0.003622175261358 0.219460179321440 0.000024378065309 0.975614733870029 1735727241.397298097610474
0.002866575323208 -0.001230205687052 -0.001289795269934 -0.008404343877173 0.442376995446930 -0.001858820399679 -0.003895881403207 0.219391099191089 0.000015149325635 0.975629216185286 1735727241.496618270874023
0.003652407151157 -0.001674483226151 -0.001360606980683 -0.008059331705743 0.442184025409368 -0.001602874097666 -0.003755816231984 0.219296485162983 0.000101761160860 0.975651031406342 1735727241.595938920974731
0.003874626534031 0.000048399206125 -0.000529886741776 -0.008090707030251 0.442511970165027 -0.001867390546337 -0.003741823232561 0.219456956973784 -0.000023155703628 0.975615007192139 1735727241.700474739074707
0.002705328681422 0.002783590183344 0.001106336712824 -0.008017811480053 0.442482912900762 -0.002023410593081 -0.003689171501951 0.219443070091307 -0.000107322230918 0.975618325721934 1735727241.800314664840698
0.003685978053901 0.003565072268389 0.001823463482978 -0.008122428807445 0.442612403991538 -0.002028603182018 -0.003739513269963 0.219506251465849 -0.000098105502264 0.975603921672738 1735727241.899699687957764
0.002441779756694 0.004591286136352 0.001715845544038 -0.007895996351470 0.442382896306731 -0.001779714442475 -0.003656574382477 0.219393830020786 -0.000002013115549 0.975629528462799 1735727241.999034881591797
0.001660389181371 0.003310137150236 0.000259081158016 -0.007888422835375 0.442234748962203 -0.001932811999045 -0.003636219497725 0.219321840051609 -0.000077827904577 0.975645787325994 1735727242.098368167877197
0.002920304477761 0.001022128459031 0.000411394256438 -0.008164378371989 0.442510182025633 -0.001739071991025 -0.003791842414833 0.219455842581386 0.000047519154470 0.975615063859679 1735727242.197728395462036
0.005095475639951 0.000395394902851 0.000181703986236 -0.007773299260191 0.442184472444192 -0.001574369806192 -0.003619407351891 0.219296663986526 0.000084304219313 0.975651508453505 1735727242.297088384628296
0.004916418167195 -0.000767011648795 -0.000306017511249 -0.007963334701950 0.442286068561099 -0.001291453915745 -0.003743056372501 0.219345688527586 0.000243359424926 0.975639994685305 1735727242.396448135375977
0.002853489073858 -0.000998312070535 -0.000738985953580 -0.007968573389796 0.442080283525120 -0.001562536887302 -0.003716049764103 0.219245806482752 0.000111276670220 0.975662572271470 1735727242.495828151702881
0.001438155005243 -0.000026594629143 0.000870779730555 -0.008079663407502 0.442810142400490 -0.001802300295209 -0.003743315034622 0.219602283102862 0.000008001092180 0.975582300364528 1735727242.600007772445679
-0.000008274889645 0.001849890059376 0.000991073188628 -0.007731197889508 0.442517930629536 -0.001946366351206 -0.003557780661404 0.219459997481897 -0.000101117234158 0.975615006791775 1735727242.700189590454102
0.001145851730628 0.001501506731062 0.001150486050239 -0.007979939248876 0.442440146568051 -0.001811841695142 -0.003693948343898 0.219421816662379 -0.000008359864665 0.975623093744878 1735727242.799549341201782
